clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
"Subject to the terms herein, the staff member agrees not to join a direct competitor in the same role for 9 months post-employment within the same city.",Non-Compete,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, notice period of 30 days applies, but management may waive it at their discretion.",Notice Period,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Under this clause, the staff member shall not work in any capacity in the same industry, anywhere in India, for 3 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the financial institution agrees to disburse a loan amount of Rs. 1000000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, delivery shall be completed within 15 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the management may withhold or delay salary payment of Rs. 100000/- without prior communication to the staff member.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, a lock-in period of 24 months shall apply, during which neither party may terminate without mutual consent.",Lock-in Period,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the applicant shall repay the loan in equal monthly instalments over 9 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the loan amount of Rs. 500000/- may be disbursed in tranches at the discretion of the financial institution.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the Lessor may impose any renewal terms unilaterally, including rent increases exceeding 1.50%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the company disclaims all warranty obligations, express or implied, to the maximum extent permitted by law.",Warranty,Consumer Agreement,Risky,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"It is hereby agreed that the staff member shall be on probation for 3 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the Company may withhold or delay salary payment of Rs. 40000/- without prior communication to the staff member.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Lender may impose additional restrictions regarding late payment at its discretion. Clause 249.,Late Payment,Loan Agreement,Risky,"Indian Contract Act, 1872",India
Possession of the premises shall be returned to the Landlord simultaneously with the refund of the security deposit.,Possession Return,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the financial institution agrees to disburse a loan amount of Rs. 1000000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the probation period of 12 months may be extended by the management based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the rent of Rs. 6000/- may be revised by the Landlord after 9 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, prepayment before 9 months shall attract a charge of 1% of the outstanding amount.",Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the Company may revise the job role of the Employee based on operational requirements with reasonable notice.",Job Role,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, rent of Rs. 8000/- may be revised by the hostel/PG management with 60 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that the Employee shall be paid a monthly salary of Rs. 40000/- on or before the 7th day of the following month.,Salary,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the Employer may terminate the staff member with 90 days notice or payment in lieu thereof.,Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the occupant shall pay a security deposit of Rs. 15000/- which shall be refunded within 15 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the Tenant shall pay a security deposit of Rs. 20000/- which shall be refunded within 15 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the Employee shall not work in any capacity in the same industry, anywhere in India, for 3 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The loan amount of Rs. 1500000/- may be disbursed in tranches at the discretion of the Bank.,Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that the Company may withhold or delay salary payment of Rs. 25000/- without prior communication to the Employee.,Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, intellectual property created by the appointee, including outside working hours if related to company business, may be claimed by the Employer.",Intellectual Property,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the Company may withhold or delay salary payment of Rs. 25000/- without prior communication to the staff member.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, prepayment before 24 months shall attract a charge of 8% of the outstanding amount.",Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the rent of Rs. 15000/- may be revised by the property owner after 24 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the applicable interest rate shall be 13% per annum, fixed for the tenure of the loan.",Interest Rate,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the security deposit of Rs. 10000/- shall be refunded within 30 days, subject to inspection by the property owner.",Security Deposit,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that this Agreement may be terminated by mutual written consent of both the Lessor and the Tenant.,Termination,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, confidentiality obligations of the staff member shall survive termination for a period of 11 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that the staff member shall be on probation for 12 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, this Agreement may be terminated by the Lessor on breach of any term, subject to a 30-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, rent of Rs. 10000/- may be revised by the hostel/PG management with 60 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the Employee shall not work in any capacity in the same industry, anywhere in India, for 9 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
